,,All data,All data,All data,Young adults,Young adults,Young adults,Middle adults,Middle adults,Middle adults,Older adults,Older adults,Older adults
,,Total,First,Rank (SD),Total,First,Rank (SD),Total,First,Rank (SD),Total,First,Rank (SD)
A type of human dwelling,Cave,0.21,0.04,3.38 (2.10),0.13,0.01,3.90 (2.21),0.30,0.08,3.20 (2.06),0.20,0.05,3.29 (1.86)
A type of human dwelling,Igloo,0.20,0.02,3.86 (2.07),0.17,0.01,4.57 (2.21),0.16,0.01,3.53 (1.81),0.27,0.05,3.60 (2.10)
A type of human dwelling,Cabin,0.19,0.01,4.50 (2.08),0.17,0.01,4.07 (2.16),0.24,,4.94 (1.90),0.18,0.01,4.33 (2.26)
A type of human dwelling,RV,0.19,,4.91 (1.59),0.10,,5.50 (1.69),0.25,,4.85 (1.39),0.21,0.01,4.72 (1.78)
A type of human dwelling,Trailer,0.18,,4.93 (2.04),0.14,,5.41 (2.50),0.22,,4.52 (1.70),0.18,,5.00 (2.04)
A type of human dwelling,Mansion,0.18,,5.09 (1.80),0.25,,5.00 (1.26),0.18,,5.64 (2.65),0.11,,4.44 (1.01)
A type of human dwelling,Townhouse,0.11,,5.39 (1.83),0.12,,4.90 (1.45),0.14,,5.54 (2.16),0.08,,5.85 (1.86)
A type of human dwelling,Hotel,0.11,,5.15 (1.81),0.12,,5.50 (1.65),0.09,,5.00 (1.00),0.12,,4.90 (2.42)
A type of human dwelling,Shack,0.10,,4.50 (2.10),0.07,0.01,4.66 (2.74),0.13,,5.40 (2.12),0.12,,3.50 (1.27)
A type of human dwelling,Yurt,0.09,0.02,3.14 (1.55),0.07,,3.50 (1.05),0.05,,4.00 (2.16),0.14,0.05,2.66 (1.50)
A type of human dwelling,Teepee,0.09,,4.68 (2.42),0.12,0.01,5.00 (2.75),0.09,,4.00 (2.24),0.06,,5.00 (2.24)
A type of human dwelling,Duplex,0.08,,4.95 (2.32),0.08,,5.57 (2.64),0.09,,5.57 (2.15),0.06,,3.20 (1.30)
A type of human dwelling,Cottage,0.07,,4.06 (1.59),0.05,,3.00 (0.82),0.08,,3.66 (1.63),0.10,,4.87 (1.55)
A type of human dwelling,Castle,0.06,,6.64 (1.95),0.04,,7.33 (1.15),0.06,,7.00 (2.65),0.07,,6.00 (1.67)
A type of human dwelling,Car,0.05,,5.00 (1.58),0.04,,6.00 (2.00),0.08,,4.66 (1.86),0.05,,4.75 (0.50)
A type of music,Rock,0.80,0.31,2.57 (1.90),0.80,0.29,3.01 (2.42),0.77,0.35,2.40 (1.82),0.86,0.30,2.29 (1.27)
A type of music,Country,0.63,0.07,3.71 (2.10),0.64,0.08,3.86 (2.39),0.63,0.06,3.48 (1.96),0.64,0.07,3.77 (1.93)
A type of music,Classical,0.56,0.13,3.67 (2.21),0.48,0.08,4.15 (2.43),0.56,0.11,3.72 (2.08),0.64,0.19,3.27 (2.10)
A type of music,Jazz,0.53,0.11,3.54 (2.12),0.46,0.06,3.86 (2.12),0.57,0.09,4.33 (2.24),0.57,0.19,2.54 (1.60)
A type of music,Rap,0.50,0.11,3.41 (2.22),0.54,0.16,3.24 (2.49),0.54,0.11,3.32 (2.15),0.44,0.07,3.70 (1.98)
A type of music,Pop,0.47,0.07,3.67 (2.09),0.55,0.11,3.65 (2.20),0.54,0.05,3.60 (1.98),0.33,0.06,3.78 (2.15)
A type of music,Blues,0.28,0.01,4.70 (2.19),0.22,,5.72 (2.27),0.37,0.03,4.68 (2.22),0.27,,3.91 (1.81)
A type of music,R&B,0.22,,5.31 (2.79),0.34,,5.28 (3.09),0.20,0.01,5.25 (2.82),0.12,,5.50 (1.96)
A type of music,Alternative,0.19,,6.15 (2.37),0.25,,5.85 (2.26),0.23,0.01,6.66 (2.87),0.10,,5.75 (1.04)
A type of music,Folk,0.14,0.02,4.60 (2.53),0.12,0.01,6.00 (3.02),0.15,0.01,4.33 (2.15),0.15,0.02,3.76 (2.17)
A type of music,Gospel,0.11,0.01,5.18 (2.70),0.13,,6.09 (2.66),0.10,0.03,5.50 (3.42),0.11,,3.77 (1.39)
A type of music,Metal,0.10,0.01,5.27 (2.69),0.17,0.01,6.14 (2.77),0.14,0.03,4.27 (2.41),,,
A type of music,Reggae,0.10,,5.54 (2.16),0.11,,6.11 (2.42),0.13,,4.80 (2.20),0.08,,5.85 (1.68)
A type of music,Soul,0.09,,5.70 (2.77),0.11,0.01,5.22 (2.91),0.10,,6.50 (3.12),0.07,,5.33 (2.25)
A type of music,Punk,0.08,0.01,5.43 (2.34),0.13,,6.09 (2.12),0.08,0.03,4.16 (2.71),0.05,,5.50 (2.08)
A type of music,Opera,0.08,,5.37 93.15),0.06,,8.00 (4.00),0.06,,4.20 (2.49),0.11,0.01,4.55 (2.30)
A type of music,Oldies,0.06,,5.69 (2.77),0.07,,4.83 (2.04),0.06,,8.00 (2.74),0.06,,4.40 (2.51)
A type of music,Funk,0.06,,6.67 (2.41),0.07,,6.16 (2.79),0.09,,7.57 (2.15),0.02,,5.00 (1.41)
A type of music,Bluegrass,0.06,,5.36 (2.10),0.07,,5.50 (2.07),0.06,,5.40 (2.88),0.04,,5.00 (1.00)
A type of music,Ska,0.06,,6.79 (2.75),0.08,,7.71 (2.14),0.06,0.01,6.20 (3.70),0.02,,5.00 (1.41)
A type of music,Techno,0.06,,7.21 (2.12),0.10,,7.75,0.05,,6.25,0.02,,7.00
A type of music,Indie,0.05,,5.62 (2.02),0.06,,5.60 (2.19),0.08,,5.33 (2.34),0.02,,6.50 (0.71)
A type of vehicle,Car,0.88,0.69,1.33 (0.76),0.82,0.65,1.35 (0.82),0.86,0.65,1.45 (0.95),0.96,0.79,1.19 (0.43)
A type of vehicle,Truck,0.77,0.08,2.46 (1.19),0.83,0.14,2.31 (1.30),0.75,0.06,2.55 (1.22),0.76,0.05,2.53 (1.04)
A type of vehicle,Motorcycle,0.34,0.01,5.05 (1.98),0.28,,5.69 (2.12),0.35,0.03,5.00 (2.11),0.39,,4.63 (1.69)
A type of vehicle,Airplane,0.33,,4.56 (1.63),0.34,,4.17 (1.39),0.30,,4.58 (1.69),0.36,,4.90 (1.77)
A type of vehicle,Bicycle,0.31,0.02,4.77 (2.18),0.27,,5.22 (2.47),0.29,0.01,5.00 (2.02),0.38,0.05,4.28 (2.05)
A type of vehicle,Bus,0.31,0.02,3.66 (1.68),0.27,,4.00 (1.41),0.34,0.03,3.40 (1.76),0.33,0.02,3.64 (1.81)
A type of vehicle,SUV,0.27,0.01,3.70 (1.64),0.36,0.04,3.46 (1.43),0.24,,4.00 (1.97),0.20,,3.76 (1.60)
A type of vehicle,Boat,0.26,,4.37 (1.91),0.25,,4.47 (1.44),0.25,,4.20 (2.31),0.29,,4.41 (1.98)
A type of vehicle,Train,0.26,,4.63 (1.80),0.20,,5.11 (1.87),0.27,,4.47 (1.94),0.31,,4.42 (1.63)
A type of vehicle,Van,0.25,0.01,4.02 (1.73),0.36,,4.06 (1.48),0.22,0.01,4.00 (1.94),0.18,0.01,3.93 (2.05)
A type of vehicle,Semi,0.10,,4.84 (2.39),0.10,0.01,4.25 (3.01),0.13,,4.50 (2.12),0.08,,6.00 (1.83)
A type of vehicle,Jeep,0.10,0.02,3.50 (2.00),0.10,,4.12 (2.17),0.13,0.05,3.10 (2.02),0.07,0.02,3.33 (1.86)
A type of vehicle,Tank,0.09,,4.91 (1.63),0.05,,5.75 (1.50),0.14,0.01,4.81 (1.66),0.08,,4.57 (1.72)
A type of vehicle,Sedan,0.08,0.03,3.14 (2.46),0.13,0.04,3.63 (2.91),0.09,0.05,2.42 (2.15),0.04,,3.00 (1.00)
A type of vehicle,Tractor,0.08,,4.95 (1.54),0.06,,5.00 (1.00),0.06,,6.20 (2.28),0.12,,4.30 (0.95)
A type of vehicle,Scooter,0.07,,5.67 (1.85),0.02,,6.00 (1.41),0.13,,6.00 (1.76),0.07,0.01,5.00 (2.19)
A type of vehicle,RV,0.07,,4.82 (2.46),0.06,,3.80 (1.64),0.08,0.01,4.16 (2.32),0.07,,6.33 (2.73)
A type of vehicle,Wagon,0.06,,5.00 (2.20),0.02,,4.50 (2.12),0.06,,6.20 (1.79),0.10,0.01,4.37 (2.39)
A type of vehicle,Taxi,0.06,,4.73 (2.76),0.06,,7.00 (3.00),0.04,0.01,4.00 (2.65),0.08,,3.42 (1.72)
A type of vehicle,ATV,0.06,,4.93 (1.54),0.04,,6.66 (2.08),0.06,,4.00 (0.71),0.07,,4.83 (1.17)
A unit of distance,Mile,0.93,0.37,2.72 (1.88),0.89,0.29,3.00 (1.99),0.95,0.41,2.66 (1.89),0.98,0.43,2.51 (1.76)
A unit of distance,Inch,0.76,0.27,2.67 (1.67),0.67,0.16,3.00 (1.74),0.84,0.30,2.81 (1.83),0.80,0.36,2.23 (1.36)
A unit of distance,Foot,0.74,0.13,2.97 (1.63),0.78,0.25,2.96 (1.85),0.73,0.05,3.31 (1.59),0.73,0.07,2.63 (1.34)
A unit of distance,Kilometer,0.64,0.04,3.96 (1.92),0.69,0.06,3.77 (1.93),0.66,0.03,4.09 (1.95),0.60,0.04,4.04 (1.89)
A unit of distance,Yard,0.61,0.02,3.86 (1.55),0.63,0.04,3.84 (1.70),0.62,0.01,4.04 (1.68),0.61,,3.68 (1.26)
A unit of distance,Meter,0.60,0.09,3.68 (1.76),0.65,0.12,3.27 (1.69),0.63,0.10,3.72 (1.83),0.55,0.05,4.10 (1.76)
A unit of distance,Centimeter,0.54,0.03,4.46 (1.92),0.55,0.04,4.04 (1.99),0.65,0.05,4.17 (1.77),0.43,0.01,5.38 (1.74)
A unit of distance,Millimeter,0.26,0.03,5.08 (2.37),0.23,0.02,5.21 (2.35),0.33,0.04,4.65 (2.33),0.24,0.02,5.50 (2.46)
A unit of time,Minute,0.94,0.21,2.14 (1.10),0.93,0.24,2.23 (1.40),0.97,0.22,2.07 (0.94),0.95,0.17,2.11 (0.91)
A unit of time,Hour,0.94,0.18,2.72 (1.21),0.92,0.16,2.60 (0.95),0.97,0.22,2.74 (1.48),0.94,0.18,2.81 (1.14)
A unit of time,Second,0.93,0.48,1.92 (1.36),0.89,0.43,1.97 (1.43),0.97,0.48,2.02 (1.46),0.94,0.52,1.77 (1.18)
A unit of time,Day,0.74,0.01,4.19 (1.09),0.67,0.02,4.10 (1.22),0.80,,4.33 (1.24),0.77,0.01,4.12 (0.78)
A unit of time,Year,0.73,0.01,6.20 (1.40),0.65,,6.07 (1.36),0.78,0.01,6.29 (1.30),0.79,0.02,6.21 (1.53)
A unit of time,Month,0.64,,5.90 (1.22),0.59,,6.02 (1.36),0.63,,6.06 (1.24),0.70,,5.66 (1.04)
A unit of time,Week,0.52,,5.40 (1.10),0.48,,5.50 (1.11),0.54,,5.62 (1.35),0.55,,5.10 (0.74)
A unit of time,Decade,0.47,,7.61 (1.37),0.48,0.01,7.55 (1.60),0.49,,7.66 (1.34),0.45,,7.60 (1.16)
A unit of time,Century,0.45,,8.34 (1.40),0.43,0.01,8.22 (1.77),0.48,,8.28 (1.27),0.44,,8.51 (1.12)
A unit of time,Millisecond,0.22,0.03,5.22 (3.10),0.20,0.02,6.47 (3.16),0.22,0.03,5.00 (2.72),0.25,0.05,4.38 (3.15)
A unit of time,Millennium,0.19,,8.96 (1.44),0.22,,9.11 (1.45),0.24,,8.57 (1.68),0.12,,9.40 (0.70)
A unit of time,Nanosecond,0.10,0.02,4.88 (3.04),0.07,0.02,4.16 (3.66),0.10,0.03,5.00 (3.12),0.14,0.02,5.16 (2.89)
A vegetable,Carrot,0.62,0.24,2.81 (2.13),0.63,0.28,2.59 (1.87),0.67,0.24,3.16 (2.64),0.58,0.20,2.63 (1.73)
A vegetable,Broccoli,0.44,0.08,3.60 (2.17),0.57,0.12,3.57 (2.21),0.48,0.09,3.71 (2.45),0.27,0.04,3.47 (1.62)
A vegetable,Potato,0.40,0.05,3.68 (2.19),0.39,0.04,3.71 (2.40),0.37,0.06,3.72 (2.20),0.44,0.06,3.62 (2.05)
A vegetable,Corn,0.39,0.12,3.09 (1.95),0.35,0.11,2.68 (1.79),0.41,0.14,3.25 (2.14),0.42,0.11,3.28 (1.90)
A vegetable,Lettuce,0.39,0.07,4.03 (2.51),0.36,0.06,4.36 (2.59),0.47,0.06,4.62 (2.66),0.35,0.08,2.93 (1.87)
A vegetable,Pea,0.36,0.06,3.56 (2.07),0.37,0.02,4.00 (2.16),0.35,0.06,3.85 (2.32),0.36,0.08,2.83 (1.51)
A vegetable,Tomato,0.31,0.08,3.47 (2.34),0.28,0.06,3.60 (2.29),0.28,0.09,2.86 (2.25),0.39,0.10,3.78 (2.42)
A vegetable,Onion,0.27,0.02,4.94 (2.96),0.29,0.01,4.45 (3.39),0.25,0.01,5.45 (2.91),0.26,0.04,5.00 (2.51)
A vegetable,Cucumber,0.24,0.02,4.57 (2.44),0.20,0.04,4.47 (2.43),0.30,0.01,4.62 (2.50),0.23,0.02,4.57 (2.50)
A vegetable,Cabbage,0.24,0.02,4.07 (1.82),0.27,0.04,3.90 (1.93),0.27,0.03,4.38 (2.01),0.19,,3.87 (1.41)
A vegetable,Bean,0.23,0.03,3.46 (2.04),0.12,0.04,3.40 (1.96),0.18,,3.85 (1.70),0.38,0.06,3.31 (2.24)
A vegetable,Celery,0.19,0.02,4.11 (2.60),0.16,0.04,4.46 (3.55),0.27,0.03,3.90 (2.21),0.15,,4.07 (2.22)
A vegetable,Squash,0.18,0.01,4.82 (2.40),0.17,,4.85 (2.07),0.18,0.01,4.92 (2.67),0.19,0.02,4.68 (2.57)
A vegetable,Cauliflower,0.16,,4.87 (2.40),0.14,0.01,4.16 (2.04),0.19,,5.00 (3.00),0.14,,5.41 (1.83)
A vegetable,Spinach,0.15,0.02,4.92 (2.77),0.20,0.02,5.29 (2.91),0.16,0.01,5.38 (2.81),0.10,0.02,3.37 (2.07)
A vegetable,Asparagus,0.15,0.01,5.03 (2.61),0.16,0.01,5.38 (3.50),0.14,,5.27 (1.79),0.14,0.02,4.41 (2.19)
A vegetable,Beet,0.14,0.03,4.06 (2.30),0.08,,5.85 (1.57),0.18,0.05,3.57 (2.41),0.15,0.04,3.61 (2.14)
A vegetable,Peppers,0.14,0.01,4.88 (2.77),0.16,0.02,4.92 (3.66),0.11,0.01,5.88 (2.20),0.14,,4.08 (1.83)
A vegetable,Zucchini,0.12,,5.21 (2.55),0.11,0.01,4.22 (2.44),0.10,,5.75 (2.76),0.14,,5.58 (2.50)
A vegetable,Radish,0.11,,5.96 (2.24),0.07,,5.83 (2.04),0.13,,6.60 (2.41),0.13,0.01,5.45 (2.25)
A vegetable,Kale,0.09,,5.87 (2.18),0.12,,6.00 (2.31),0.09,0.01,5.14 (2.27),0.07,,6.50 (1.97)
A vegetable,Eggplant,0.09,0.01,4.23 (2.11),0.16,0.01,4.15 (2.12),0.05,0.01,4.75 (2.63),0.06,0.01,4.00 (2.12)
A vegetable,Turnip,0.07,,5.76 (2.49),0.05,,4.25 (1.50),0.11,,6.88 (2.09),0.05,0.01,4.75 (3.30)
A weapon,Knife,0.94,0.27,1.99 (1.00),0.93,0.36,1.81 (1.07),0.96,0.22,2.15 (1.02),0.95,0.24,2.00 (0.90)
A weapon,Gun,0.91,0.61,1.44 (0.76),0.93,0.55,1.55 (0.88),0.92,0.68,1.34 (0.67),0.90,0.62,1.40 (0.72)
A weapon,Sword,0.33,0.01,4.05 (1.92),0.41,,4.08 (1.98),0.33,0.03,4.07 (2.30),0.25,,3.95 (1.28)
A weapon,Bomb,0.22,,4.96 (1.80),0.24,,4.65 (1.57),0.18,,5.78 (2.33),0.24,,4.70 (1.49)
A weapon,Rifle,0.21,0.02,3.66 (1.85),0.11,0.01,4.22 (2.28),0.20,0.01,3.43 (1.50),0.33,0.02,3.60 (1.91)
A weapon,Club,0.13,0.01,4.41 (1.66),0.06,,5.00 (1.22),0.13,0.01,4.50 (1.90),0.20,0.01,4.17 (1.67)
A weapon,Fist,0.13,0.01,4.84 (1.81),0.12,0.02,4.10 (1.97),0.11,,5.66 (1.50),0.14,,4.83 (1.75)
A weapon,Spear,0.12,,4.86 (1.75),0.07,,6.50 (1.05),0.09,,5.14 (2.27),0.19,,4.12 (1.26)
A weapon,Cannon,0.10,,5.12 (1.99),0.05,,4.75 (2.75),0.11,,5.44 (2.13),0.15,,5.00 (1.78)
A weapon,Hammer,0.10,,4.56 (1.89),0.06,,3.60 (1.52),0.14,,5.27 (2.45),0.11,,4.22 (0.83)
A weapon,Axe,0.10,,5.00 (2.43),0.10,,3.37 (0.92),0.14,,6.27 (2.83),0.06,,4.80 (1.64)
A weapon,Mace,0.10,,5.46 (2.32),0.11,,4.88 (1.62),0.14,,6.00 (2.65),0.05,0.01,5.25 (2.99)
A weapon,Shotgun,0.08,,4.63 (2.06),0.11,,4.44 (2.30),0.03,,7.00 (1.41),0.10,,4.25 (1.67)
A weapon,Machete,0.07,,4.17 (1.58),0.10,,3.50 (1.31),0.06,,4.00 (2.65),0.06,,5.40 (2.99)
A weapon,Taser,0.07,,4.88 (1.69),0.06,,5.00 (1.87),0.08,,5.50 (1.22),0.07,,4.16 (1.94)
A weapon,Tank,0.06,,5.13 (1.78),0.04,,5.33 (1.15),0.11,,5.22 (2.28),0.05,,4.75 (0.96)
A weapon,Pistol,0.06,0.01,3.29 (2.49),0.04,0.01,5.00 (4.58),0.04,,3.00 (1.00),0.10,0.02,2.75 (1.91)
A weapon,Stick,0.06,,4.43 (1.60),0.04,,5.00 (1.73),0.06,0.01,4.00 (2.00),0.07,,4.50 (1.38)
A weapon,Missile,0.06,,5.57 (2.21),0.05,,5.50 (1.73),0.08,,4.83 (2.14),0.05,,6.75 (2.75)
A weapon,Grenade,0.06,,5.21 (1.53),0.08,,5.57 (1.27),0.06,,5.00 (1.87),0.02,,4.50 (2.12)
A weather phenomenon,Hurricane,0.83,0.19,3.07 (2.01),0.81,0.28,2.91 (2.11),0.87,0.33,2.97 (1.85),0.83,0.25,3.32 (2.07)
A weather phenomenon,Tornado,0.83,0.28,2.74 (1.96),0.78,0.23,2.86 (2.17),0.87,0.11,2.39 (1.65),0.86,0.26,2.95 (2.01)
A weather phenomenon,Rain,0.48,0.20,2.64 (1.94),0.47,0.07,2.38 (1.76),0.42,0.01,3.06 (1.94),0.56,,2.55 (2.08)
A weather phenomenon,Snow,0.44,0.03,3.58 (1.88),0.42,0.01,3.17 (2.15),0.42,0.03,3.90 (1.99),0.49,0.02,3.65 (1.49)
A weather phenomenon,Hail,0.28,0.02,4.51 (2.10),0.30,0.01,4.80 (2.02),0.24,0.01,4.47 (2.39),0.30,0.01,4.24 (2.01)
A weather phenomenon,Thunder,0.28,0.01,4.32 (2.04),0.28,,3.86 (1.42),0.27,,5.00 (2.68),0.30,0.02,4.16 (1.82)
A weather phenomenon,Tsunami,0.23,0.01,4.63 (1.90),0.29,0.01,4.91 (1.67),0.27,0.03,4.33 (1.77),0.14,,4.58 (2.54)
A weather phenomenon,Blizzard,0.23,0.01,4.37 (1.88),0.27,,4.72 (2.00),0.32,,4.32 (1.93),0.12,,3.70 (1.34)
A weather phenomenon,Sleet,0.22,,4.83 (1.90),0.17,0.01,4.42 (2.38),0.24,0.01,5.05 (1.78),0.25,0.06,4.90 (1.70)
A weather phenomenon,Wind,0.20,0.03,4.39 (2.69),0.19,,5.50 (2.66),0.15,0.04,4.91 (2.97),0.25,,3.23 (2.17)
A weather phenomenon,Lightning,0.19,0.01,4.64 (2.23),0.20,,4.70 (1.86),0.14,0.03,4.45 (3.42),0.23,,4.68 (1.77)
A weather phenomenon,Typhoon,0.17,0.01,4.74 (2.00),0.08,0.02,3.71 (0.49),0.22,,4.47 (2.24),0.21,0.01,5.38 (1.97)
A weather phenomenon,Flood,0.16,0.01,3.92 (2.03),0.17,,3.42 (1.83),0.16,0.06,4.00 (1.78),0.14,0.08,4.41 (2.50)
A weather phenomenon,Storm,0.13,0.05,3.24 (2.42),0.06,0.01,4.60 (0.89),0.18,0.01,3.50 (2.93),0.17,0.04,2.50 (2.07)
A weather phenomenon,Cyclone,0.13,0.02,4.16 (2.11),0.11,0.28,4.00 (1.80),0.10,0.33,4.12 (2.03),0.18,0.25,4.26 (2.43)
A weather phenomenon,Earthquake,0.10,,4.31 (1.46),0.18,,4.46 (1.60),0.10,,4.00 (1.51),0.04,,4.33 (0.58)
A weather phenomenon,Clouds,0.09,0.02,4.57 (3.04),0.06,0.01,3.80 (2.77),0.06,0.04,2.60 (2.61),0.15,0.02,5.61 (3.01)
A weather phenomenon,Nor’easter,0.08,0.01,4.16 (2.17),0.14,0.01,4.00 (2.26),0.06,0.01,4.40 (2.41),0.02,,4.50 (2.12)
A weather phenomenon,Drought,0.08,,5.32 (2.11),0.11,0.01,5.66 (2.35),0.05,,5.00 (1.63),0.07,,5.00 (2.28)
A weather phenomenon,Monsoon,0.06,,4.40 (1.84),0.07,,4.50 (1.52),0.08,,4.50 (2.59),0.04,,4.00 (1.00)
A weather phenomenon,Fog,0.06,,6.29 (2.13),0.05,,6.25 (3.20),0.04,,7.00 (1.73),0.08,,6.00 (1.83)
An alcoholic beverage,Beer,0.92,0.69,1.61 (1.36),0.94,0.71,1.60 (1.38),0.96,0.71,1.64 (1.33),0.89,0.67,1.58 (1.38)
An alcoholic beverage,Wine,0.85,0.09,2.73 (1.66),0.83,0.07,2.75 (1.66),0.90,0.05,2.95 (1.76),0.86,0.15,2.47 (1.55)
An alcoholic beverage,Vodka,0.66,0.05,3.90 (1.84),0.65,0.05,3.92 (2.14),0.67,0.08,3.67 (1.82),0.67,0.02,4.08 (1.54)
An alcoholic beverage,Whiskey,0.59,0.01,4.13 (1.71),0.55,0.01,3.95 (1.74),0.57,0.01,4.13 (1.77),0.67,,4.26 (1.67)
An alcoholic beverage,Rum,0.44,0.03,4.43 (1.91),0.41,0.01,4.85 (2.12),0.42,0.03,4.45 (1.56),0.49,0.06,4.04 (1.95)
An alcoholic beverage,Gin,0.41,0.05,4.40 (2.09),0.35,0.02,5.37 (2.27),0.44,0.05,4.28 (1.89),0.45,0.07,3.76 (1.92)
An alcoholic beverage,Tequila,0.30,,5.09 (2.06),0.37,,5.00 (1.95),0.28,,5.36 (2.08),0.26,0.01,4.95 (2.26)
An alcoholic beverage,Bourbon,0.22,,5.20 (1.84),0.17,0.01,5.28 (2.23),0.23,,5.77 (2.02),0.26,,4.68 (1.25)
An alcoholic beverage,Scotch,0.19,,4.59 (1.80),0.10,,5.87 (1.55),0.25,,4.70 (1.81),0.21,0.01,3.88 (1.60)
An alcoholic beverage,Brandy,0.13,,5.06 (1.56),0.12,,5.40 (1.17),0.15,,5.00 (1.65),0.12,,4.80 (1.87)
An alcoholic beverage,Champagne,0.12,,5.07 (1.98),0.14,0.01,4.75 (2.22),0.14,,5.18 (1.54),0.08,,5.42 (2.37)
An alcoholic beverage,Margarita,0.10,0.01,4.46 (2.35),0.12,0.01,4.30 (2.16),0.14,0.03,4.27 (2.69),0.06,,5.20 (2.28)
An alcoholic beverage,Liquor,0.08,,4.11 (1.73),0.11,,3.88 (1.76),0.05,,4.75 (2.22),0.07,,4.00 (1.55)
An alcoholic beverage,Ale,0.07,,4.56 (1.76),0.04,,5.00 (1.73),0.08,,4.83 (2.32),0.11,,4.22 (1.48)
An alcoholic beverage,Martini,0.06,,4.07 (2.22),0.08,0.01,4.00 (2.65),0.05,,4.25 (2.06),0.05,,4.00 (2.16)
An alcoholic beverage,Rye,0.05,,4.92 (1.80),0.02,,6.00 (0.00),0.03,,3.50 (0.71),0.11,,5.00 (2.00)
An article of clothing,Shirt,0.86,0.46,2.00 (1.42),0.86,0.53,1.73 (1.19),0.90,0.48,2.05 (1.57),0.85,0.38,2.21 (1.43)
An article of clothing,Pants,0.83,0.12,2.86 (1.65),0.81,0.11,2.68 (1.43),0.82,0.09,3.01 (1.92),0.89,0.17,2.86 (1.57)
An article of clothing,Socks,0.69,0.05,5.20 (2.91),0.65,0.02,5.11 (3.11),0.77,0.08,5.24 (2.84),0.68,0.06,5.24 (2.82)
An article of clothing,Hat,0.44,0.06,5.76 (3.18),0.40,0.04,6.03 (2.93),0.47,0.08,6.18 (3.53),0.45,0.08,5.10 (2.99)
An article of clothing,Underwear,0.43,0.01,5.92 (2.85),0.47,,5.51 (2.81),0.52,0.01,5.90 (2.76),0.31,0.01,6.57 (3.05)
An article of clothing,Dress,0.39,0.03,5.24 (2.87),0.34,0.02,5.75 (2.73),0.44,0.04,5.97 (3.21),0.40,0.04,4.05 (2.23)
An article of clothing,Shoes,0.38,0.06,4.81 (3.02),0.33,0.05,4.85 (3.24),0.32,0.01,5.12 (3.10),0.49,0.11,4.58 (2.88)
An article of clothing,Coat,0.37,0.02,6.29 (2.67),0.24,,6.55 (2.44),0.39,0.04,5.83 (2.98),0.49,0.01,6.51 (2.55)
An article of clothing,Jacket,0.33,0.02,5.61 (2.61),0.35,0.05,5.27 (2.93),0.23,0.03,6.11 (2.87),0.43,,5.63 (2.21)
An article of clothing,Skirt,0.33,0.01,5.59 (2.56),0.33,0.04,5.48 (2.62),0.37,,6.06 (2.85),0.31,,5.15 (2.11)
An article of clothing,Bra,0.29,0.01,6.07 (2.66),0.30,0.01,6.04 (3.14),0.39,0.01,5.96 (2.29),0.20,0.01,6.29 (2.69)
An article of clothing,Blouse,0.27,0.02,4.68 (2.68),0.19,0.01,5.50 (3.10),0.25,0.01,4.70 (2.75),0.38,0.04,4.25 (2.38)
An article of clothing,Shorts,0.27,0.01,5.64 (2.79),0.37,0.01,5.90 (2.89),0.23,0.01,5.22 (2.69),0.20,,5.58 (2.81)
An article of clothing,Sweater,0.25,0.01,5.71 (2.75),0.27,,6.00 (2.81),0.24,0.01,5.42 (2.80),0.25,0.01,5.66 (2.76)
An article of clothing,Scarf,0.23,,7.67 (2.66),0.23,,7.78 (2.70),0.19,,7.66 (3.31),0.27,,7.56 (2.25)
An article of clothing,Gloves,0.21,,7.58 (2.92),0.22,,6.77 (1.70),0.22,,9.05 (3.36),0.21,,7.00 (3.05)
An article of clothing,Jeans,0.19,0.01,4.94 (3.21),0.29,0.01,4.12 (2.46),0.22,0.03,5.64 (3.89),0.07,,6.16 (3.43)
An article of clothing,T-shirt,0.15,0.04,4.83 (3.59),0.14,0.07,3.50 (3.75),0.14,,5.45 (2.62),0.15,0.04,5.53 (4.03)
An article of clothing,Tie,0.14,,7.40 (2.97),0.16,,9.23 (3.00),0.10,,7.62 (2.83),0.17,,5.57 (1.87)
An article of clothing,Vest,0.09,,7.52 (3.36),0.08,,8.00 (2.89),0.14,,8.36 (2.94),0.06,0.01,5.00 (4.18)
An article of clothing,Panties,0.09,,6.41 (3.03),0.04,,5.66 (1.15),0.14,0.01,6.54 (3.72),0.10,,6.50 (2.67)
An article of clothing,Belt,0.08,,7.19 (2.36),0.08,,8.28 (2.21),0.05,,7.75 (2.75),0.12,,6.20 (2.10)
An article of clothing,Sweatshirt,0.07,,8.35 (3.22),0.07,,8.33 (2.73),0.06,,8.80 (4.38),0.07,,8.00 (3.16)
An article of clothing,Pajamas,0.06,,7.93 (3.93),0.05,,8.00 (4.83),0.10,0.01,7.75 (4.23),0.02,,8.50 (2.12)
An article of clothing,Slacks,0.05,,5.54 (3.13),0.06,,5.60 (1.82),0.04,,6.66 (5.51),0.06,,4.80 (3.03)
An article of clothing,Suit,0.05,,6.31 (3.33),0.07,,7.66 (2.50),0.04,,6.66 (5.03),0.05,0.01,4.00 (2.45)
An article of furniture,Chair,0.92,0.35,2.04 (1.17),0.89,0.28,2.04 (1.01),0.92,0.33,2.20 (1.37),0.95,0.45,1.87 (1.08)
An article of furniture,Couch,0.90,0.37,2.21 (1.43),0.93,0.52,2.11 (1.70,0.94,0.33,2.27 (1.40),0.85,0.26,2.25 (1.13)
